materials,value,type
Si,-5.15,VB
Ge,-4.661,VB
4H-SiC,-6.33,VB
β-Ga₂O₃,-8.8,VB
GaN,-7.3,VB
GaAs,-5.5,VB
InP,-5.72,VB
InAs,-5.254,VB
GaSb,-4.76,VB
GaP,-5.91,VB
AlAs,-5.668,VB
InSb,-4.9,VB
AlSb,-5.2,VB
AlN,-6.8,VB
InN,-5.3,VB
,,VB
Metal E°,,VB
,,VB
,,VB
Oxidant E°,,VB
Si,-0.39,CB
Ge,-0.44,CB
4H-SiC,-1.34,CB
β-Ga₂O₃,-0.8,CB
GaN,-0.34,CB
GaAs,-0.37,CB
InP,-0.06,CB
InAs,0.46,CB
GaSb,-0.38,CB
GaP,-0.79,CB
AlAs,-0.94,CB
InSb,0.28,CB
AlSb,-0.84,CB
AlN,-3.84,CB
InN,0.16,CB
,,CB
Metal E°,,CB
,,CB
,,CB
Oxidant E°,,CB
Au⁺/Au,-5.47,WF
Au³⁺/Au,-5.47,WF
Cu⁺/Cu,-5.1,WF
Cu²⁺/Cu,-5.1,WF
Ag⁺/Ag,-4.64,WF
Ir³⁺/Ir,5.42,WF
Ni²⁺/Ni,-5.64,WF
IrO₂/Ir,-5.22,WF
NiₓSiᵧ,-5.22,WF
Pt²⁺/Pt,-6.35,WF
Pd²⁺/Pd,-4.71,WF
Al³⁺/Al,-4.5,WF
Ru²⁺/Ru,-4.42,WF
Co²⁺/Co,-4.67,WF
Fe²⁺/Fe,-4.55,WF
Zn⁺/Zn,-5.0,WF
Ti³⁺/Ti,-3.63,WF
Cr³⁺/Cr,-4.33,WF
WO₄²⁻/WO₂,4.5,WF
Graphene,,WF
SWCNT,,WF
TiN,,WF
Sn²⁺/Sn,,WF
RuO₄/Ru²⁺,,WF
WO₄²⁻/W₂O₅,,WF
Au⁺/Au,1.692,OP
Au³⁺/Au,1.498,OP
Cu⁺/Cu,0.521,OP
Cu²⁺/Cu,0.349,OP
Ag⁺/Ag,0.8,OP
Ir³⁺/Ir,1.16,OP
Ni²⁺/Ni,-0.257,OP
IrO₂/Ir,0.95,OP
NiₓSiᵧ,0.84,OP
Pt²⁺/Pt,1.188,OP
Pd²⁺/Pd,0.951,OP
Al³⁺/Al,-1.662,OP
Ru²⁺/Ru,0.455,OP
Co²⁺/Co,-0.28,OP
Fe²⁺/Fe,-0.447,OP
Zn⁺/Zn,-0.7618,OP
Ti³⁺/Ti,-1.63,OP
Cr³⁺/Cr,-0.913,OP
WO₄²⁻/WO₂,0.457,OP
Graphene,0.3,OP
SWCNT,1.1,OP
TiN,0.9,OP
Sn²⁺/Sn,-0.532,OP
RuO₄/Ru²⁺,1.3,OP
WO₄²⁻/W₂O₅,0.801,OP
H₂O₂/H₂O,1.763,OxP
MnO₄/Mn²⁺,1.51,OxP
Cr₂O₇²⁻/Cr³⁺,1.36,OxP
HNO₃/HNO₂,0.9,OxP
S₂O₈²⁻/HSO₄⁺,2.123,OxP
Si,,matls
Ge,,matls
4H-SiC,,matls
β-Ga₂O₃,,matls
GaN,,matls
GaAs,,matls
InP,,matls
InAs,,matls
GaSb,,matls
GaP,,matls
AlAs,,matls
InSb,,matls
AlSb,,matls
AlN,,matls
InN,,matls
Au⁺/Au,,cats
Au³⁺/Au,,cats
Cu⁺/Cu,,cats
Cu²⁺/Cu,,cats
Ag⁺/Ag,,cats
Ir³⁺/Ir,,cats
Ni²⁺/Ni,,cats
IrO₂/Ir,,cats
NiₓSiᵧ,,cats
Pt²⁺/Pt,,cats
Pd²⁺/Pd,,cats
Al³⁺/Al,,cats
Ru²⁺/Ru,,cats
Co²⁺/Co,,cats
Fe²⁺/Fe,,cats
Zn⁺/Zn,,cats
Ti³⁺/Ti,,cats
Cr³⁺/Cr,,cats
WO₄²⁻/WO₂,,cats
Graphene,,cats
SWCNT,,cats
TiN,,cats
Sn²⁺/Sn,,cats
RuO₄/Ru²⁺,,cats
WO₄²⁻/W₂O₅,,cats
H₂O₂/H₂O,,oxs
MnO₄/Mn²⁺,,oxs
Cr₂O₇²⁻/Cr³⁺,,oxs
HNO₃/HNO₂,,oxs
S₂O₈²⁻/HSO₄⁺,,oxs
